,latitude,longitude,Usage
0,31.51997398,75.98000281,119.9
1,28.45000633,77.01999101,130.3
2,26.44999921,74.63998124,234.1
3,28.6699929,77.23000403,85.8
4,27.59998069,78.05000565,313.9
5,30.32040895,78.05000565,40.7
6,31.10002545,77.16659704,30.0
7,33.45,76.24,52.5
8,30.71999697,76.78000565,5.0
9,22.09042035,82.15998734,78.7
10,22.2587,71.1924,319.5
11,21.30039105,76.13001949,253.0
12,19.25023195,73.16017493,428.6
13,15.491997,73.81800065,12.8
14,20.26657819,73.0166178,18.6
15,14.7504291,78.57002559,164.6
16,18.1124,79.0193,204.2
17,12.57038129,76.91999711,206.3
18,8.900372741,76.56999263,72.7
19,12.92038576,79.15004187,268.3
20,11.93499371,79.83000037,6.3
21,25.78541445,87.4799727,82.3
22,23.80039349,86.41998572,24.8
23,19.82042971,85.90001746,70.2
24,22.58039044,88.32994665,108.2
25,27.3333303,88.6166475,2.0
26,27.10039878,93.61660071,2.1
27,26.7499809,94.21666744,21.7
28,24.79997072,93.95001705,2.7
29,25.57049217,91.8800142,6.1
30,23.71039899,92.72001461,1.9
31,25.6669979,94.11657019,2.2
32,23.83540428,91.27999914,3.4
33,31.51997398,75.98000281,121.9
34,28.45000633,77.01999101,133.5
35,26.44999921,74.63998124,240.2
36,28.6699929,77.23000403,85.5
37,27.59998069,78.05000565,311.8
38,30.32040895,78.05000565,39.3
39,31.10002545,77.16659704,30.1
40,33.45,76.24,54.1
41,30.71999697,76.78000565,4.9
42,22.09042035,82.15998734,78.8
43,22.2587,71.1924,316.7
44,21.30039105,76.13001949,253.6
45,19.25023195,73.16017493,419.6
46,15.491997,73.81800065,13.7
47,20.26657819,73.0166178,18.2
48,14.7504291,78.57002559,170.1
49,18.1124,79.0193,204.5
50,12.57038129,76.91999711,212.2
51,8.900372741,76.56999263,73.6
52,12.92038576,79.15004187,285.2
53,11.93499371,79.83000037,6.5
54,25.78541445,87.4799727,82.0
55,23.80039349,86.41998572,25.6
56,19.82042971,85.90001746,67.9
57,22.58039044,88.32994665,110.2
58,27.3333303,88.6166475,1.9
59,27.10039878,93.61660071,2.2
60,26.7499809,94.21666744,23.4
61,24.79997072,93.95001705,2.4
62,25.57049217,91.8800142,6.5
63,23.71039899,92.72001461,1.8
64,25.6669979,94.11657019,2.2
65,23.83540428,91.27999914,3.6
66,31.51997398,75.98000281,118.8
67,28.45000633,77.01999101,128.2
68,26.44999921,74.63998124,239.8
69,28.6699929,77.23000403,83.5
70,27.59998069,78.05000565,320.7
71,30.32040895,78.05000565,38.1
72,31.10002545,77.16659704,30.1
73,33.45,76.24,53.2
74,30.71999697,76.78000565,4.8
75,22.09042035,82.15998734,74.8
76,22.2587,71.1924,301.9
77,21.30039105,76.13001949,239.3
78,19.25023195,73.16017493,395.8
79,15.491997,73.81800065,12.6
80,20.26657819,73.0166178,16.7
81,14.7504291,78.57002559,165.2
82,18.1124,79.0193,201.2
83,12.57038129,76.91999711,205.3
84,8.900372741,76.56999263,73.4
85,12.92038576,79.15004187,270.3
86,11.93499371,79.83000037,6.4
87,25.78541445,87.4799727,82.9
88,23.80039349,86.41998572,26.3
89,19.82042971,85.90001746,66.3
90,22.58039044,88.32994665,106.8
91,27.3333303,88.6166475,1.7
92,27.10039878,93.61660071,2.2
93,26.7499809,94.21666744,21.7
94,24.79997072,93.95001705,2.4
95,25.57049217,91.8800142,6.3
96,23.71039899,92.72001461,1.7
97,25.6669979,94.11657019,2.2
98,23.83540428,91.27999914,3.5
99,31.51997398,75.98000281,121.0
100,28.45000633,77.01999101,127.5
101,26.44999921,74.63998124,239.1
102,28.6699929,77.23000403,79.2
103,27.59998069,78.05000565,299.0
104,30.32040895,78.05000565,39.2
105,31.10002545,77.16659704,30.2
106,33.45,76.24,51.5
107,30.71999697,76.78000565,4.3
108,22.09042035,82.15998734,69.0
109,22.2587,71.1924,313.2
110,21.30039105,76.13001949,228.2
111,19.25023195,73.16017493,411.1
112,15.491997,73.81800065,13.0
113,20.26657819,73.0166178,17.6
114,14.7504291,78.57002559,167.4
115,18.1124,79.0193,201.7
116,12.57038129,76.91999711,212.4
117,8.900372741,76.56999263,75.4
118,12.92038576,79.15004187,286.8
119,11.93499371,79.83000037,6.6
120,25.78541445,87.4799727,77.0
121,23.80039349,86.41998572,23.0
122,19.82042971,85.90001746,65.8
123,22.58039044,88.32994665,107.0
124,27.3333303,88.6166475,2.0
125,27.10039878,93.61660071,2.2
126,26.7499809,94.21666744,22.5
127,24.79997072,93.95001705,2.7
128,25.57049217,91.8800142,5.7
129,23.71039899,92.72001461,1.8
130,25.6669979,94.11657019,2.3
131,23.83540428,91.27999914,3.5
132,31.51997398,75.98000281,121.4
